game_id,game_name,status,player_name,race,victory_points,ranking,winner,pick_order,speaker
G01,Game 1,finished,Edi,Titans of Ul,9,5,false,1,true
G01,Game 1,finished,Keyser,Deepwrought Scholarate,9,3,false,2,false
G01,Game 1,finished,Hektor,Universities of Jol-Nar,10,1,true,3,false
G01,Game 1,finished,Branea,Arborec,0,6,false,4,false
G01,Game 1,finished,Ioan,L1Z1X Mindnet,9,4,false,5,false
G01,Game 1,finished,Jarod,Mentak Coalition,9,2,false,6,false
G02,Game 2,finished,Morthai,The Last Bastion,8,4,false,1,true
G02,Game 2,finished,Jarod,Argent Flight,8,5,false,2,false
G02,Game 2,finished,Hektor,Naaz-Rokha Alliance,9,2,false,3,false
G02,Game 2,finished,Branea,Embers of Muaat,10,1,true,4,false
G02,Game 2,finished,Adrim,Naalu Collective,8,3,false,5,false
G02,Game 2,finished,Ioan,Vuil'raith Cabal,7,6,false,6,false
G03,Game 3,finished,Hektor,Vuil'raith Cabal,5,6,false,1,true
G03,Game 3,finished,Ioan,Naaz-Rokha Alliance,7,4,false,2,false
G03,Game 3,finished,Edi,Nomad,9,2,false,3,false
G03,Game 3,finished,Jarod,Universities of Jol-Nar,7,5,false,4,false
G03,Game 3,finished,Branea,Ghosts of Creuss,9,3,false,5,false
G03,Game 3,finished,Keyser,Clan of Saar,10,1,true,6,false
G04,Game 4,finished,Ioan,Council Keleres,10,1,true,1,true
G04,Game 4,finished,Edi,Federation of Sol,7,5,false,2,false
G04,Game 4,finished,Branea,L1Z1X Mindnet,9,3,false,3,false
G04,Game 4,finished,Ciupi,Emirates of Hacan,8,4,false,4,false
G04,Game 4,finished,Hektor,Ghosts of Creuss,9,2,false,5,false
G04,Game 4,finished,Morthai,Vuil'raith Cabal,7,6,false,6,false
G05,Game 5,finished,Hektor,Embers of Muaat,9,3,false,1,true
G05,Game 5,finished,Ciupi,Argent Flight,9,2,false,2,false
G05,Game 5,finished,Jarod,Naalu Collective,8,4,false,3,false
G05,Game 5,finished,Titelandru,Yin Brotherhood,10,1,true,4,false
G05,Game 5,finished,Ioan,Titans of Ul,6,6,false,5,false
G05,Game 5,finished,Keyser,Mahact Gene-Sorcerers,7,5,false,6,false
G06,Game 6,finished,Ioan,Mentak Coalition,5,6,false,1,true
G06,Game 6,finished,Ciupi,Vuil'raith Cabal,9,2,false,2,false
G06,Game 6,finished,Zuicky,Winnu,8,3,false,3,false
G06,Game 6,finished,Jarod,L1Z1X Mindnet,10,1,true,4,false
G06,Game 6,finished,Edi,Titans of Ul,8,4,false,5,false
G06,Game 6,finished,Lyxye,Barony of Letnev,7,5,false,6,false
